('000019c5-d0e2-4f15-bd0c-8375a48698e5'	'_KeRaMiS_'	'46.109.172.49')
('1f1a9559-9623-4c4b-b714-b1a73b3e2954'	'THE_NINJIN'	'173.69.59.88')
('1f1b211f-3dfe-4896-9601-a0d83fa496bf'	'Summer123'	'78.16.1.9')
('1f1b9488-a325-4361-a7b8-4ed32e440f4d'	'TwitchBiotch'	'24.218.55.242')
('1f1c7afe-d1e5-40a1-94d9-b452b4a1cdb6'	'leo55290'	'78.127.229.131')
('1f1e3d2a-814a-48f1-bf3c-d91586d02bd3'	'johnbuch'	'115.66.97.144')
('1f1f5e0c-28fc-4653-b70f-4f9d33248cd1'	'Agon42'	'198.72.145.172')
('1f2a6c49-5ab8-4538-adda-adf54ef75f41'	'Culvert'	'24.1.254.78')
('1f2fd4bb-1573-4814-a7a4-38dc197d8eb9'	'Tavari_Luhta'	'68.205.80.239')
('1f3245e6-bad8-4ed0-a604-6e4ba09739dc'	'Wolstep'	'178.156.71.156')
('1f326adc-8588-4a6f-a509-995b8a319e6d'	'meganlkm_'	'110.159.144.209')
('1f377721-91b5-4983-8786-2948bf9393d7'	'tristanksu'	'81.136.65.233')
('1f390e2a-2ad1-4ea9-9512-c4f0eb07e427'	'hatzzyg0d'	'93.136.126.80')
('1f39fcb5-11e9-4f68-8226-e3a02ca0f471'	'76k'	'82.24.22.123')
('1f3c2ff7-d681-4edc-b548-a6c14f5e6a91'	'Derzied'	'69.121.144.239')
('1f3d1d1e-1f82-4022-b843-13fade3302f0'	'davidratman'	'72.179.41.141')
('1f3e0cf4-5ce7-44ae-a0b2-12f3c41c6128'	'okaylmao'	'172.72.81.114')
('1f3f0a2a-cc44-4248-b435-b495e2e9f6c8'	'jokerez'	'86.233.196.41')
('1f417ba1-57cc-424b-95e8-6e4e6f84cdf0'	'MineRanger628'	'81.162.101.101')
('1f426a94-8bef-4480-af10-98275de6e0bd'	'Power2000'	'206.176.252.12')
('1f432b3b-242a-431c-b635-d542c4ddb341'	'Flabblegast'	'70.176.178.186')
('1f4564ff-0f93-40fb-9421-6935c549e42b'	'Lazerific'	'213.163.149.158')
('1f494c6c-e448-4f68-a51e-537ce488edce'	'PvPKit'	'86.16.126.5')
('1f4cc79f-2691-4599-bada-39190cb0f53f'	'v29'	'47.33.23.141')
('1f4ccbae-b55f-45a2-a5c0-0d153cd963b2'	'criZek'	'83.26.254.6')
('1f4d737b-0b26-4554-8aee-8f6f20467ed0'	'FireUniversity'	'69.119.98.204')
('1f4fb6ff-4dda-4aed-8f6a-7bebb5d749d8'	'CombiLegend'	'42.60.48.29')
('1f513181-2909-4b74-bd66-fb11d3e1c053'	'Sypay'	'83.50.148.42')
('1f523cce-0bd2-482c-bd93-6fbd54b275c6'	'BeerFish'	'68.109.145.216')
('1f538eb6-99a1-478e-8265-52e9760aec98'	'pitipu'	'201.160.220.11')
('1f547a4a-2b19-444a-aaac-f360a119cfc0'	'Altics'	'76.182.163.176')
('1f573174-e836-4b80-9859-ddf4c23c3734'	'Butterplayzmc'	'73.29.154.47')
('1f5a3d50-d261-42e8-a3b9-d156dd262422'	'zippermask'	'69.130.247.106')
('1f5cfcd5-8d41-4d24-89a1-ad73849b812c'	'babytight'	'71.226.233.55')
('1f5d1b3c-6998-4cab-905c-786ede4dc1ae'	'zNelta'	'186.29.180.226')
('1f5f499f-6e95-4dee-890f-76d9bb88b419'	'K0dqk'	'72.186.91.53')
('1f5f4a6c-2461-44a7-a5d6-44a52bf30e1b'	'wtapped'	'68.201.105.43')
('1f6062ee-2908-42ff-92f1-dfb060dc955b'	'Derange'	'73.151.93.252')
('1f62bb33-ac16-426e-8ed1-9720b5202cd9'	'cLSTSimply'	'190.42.16.233')
('1f68d9e2-4e1c-479e-9702-7e114397590a'	'Lansier'	'193.188.113.56')
('1f69fe3a-34ee-46cb-9984-dd864bcb1d70'	'MageRig'	'72.49.50.90')
('1f6d5258-ed26-4f85-9c5e-09f25ce6d5bc'	'MotionBlurr'	'75.138.78.141')
('1f6e15b4-0bd6-40ce-91b9-bde55c30d2f9'	'Avantage'	'92.163.126.111')
('1f6f4633-68a6-460f-abfc-5938400d5c8e'	'EpicMooseMC'	'51.6.94.45')
('1f70e6e6-3879-40e5-99cc-18c5d9158778'	'JovanUltraHD'	'91.115.33.167')
('1f7122a4-25fa-4a51-8fd6-de286506d4c6'	'iDogmy'	'97.100.138.212')
('1f7390b5-dec4-45b4-a80d-2e57c5704bc3'	'minerdude116'	'217.151.98.14')
('1f74845e-135a-4c11-8015-633ced4fbea1'	'KiwiAura'	'125.239.29.88')
('1f750111-98e5-4735-b2a6-65f9013f5fee'	'iLoveYouToo_'	'86.92.101.199')
('1f782aef-2e83-49c1-9b71-708df2b6ba56'	'darksteve2412'	'200.106.89.6')
('1f78bd0d-cd26-4b84-83c8-66d11a7511e4'	'ElchuiucalYT'	'68.192.22.184')
('1f79864c-84eb-43c9-a83c-20287e635ab4'	'SamisNudes'	'73.194.246.121')
('1f7ad218-9752-461d-8ec3-d06aaeead05a'	'charbania'	'79.45.81.196')
('1f7cfcbe-f5e5-4a32-9191-62c579186ab6'	'_ToggleStrafe'	'2.30.155.53')
('1f7da128-cc4a-4bba-a8df-0c3290513408'	'Pharao79'	'66.176.50.226')
('1f7f0ad0-c5cf-4158-adca-3fd5731fbb32'	'CL_KaroZi'	'84.6.89.65')
('1f7f1808-5238-40ff-999a-bfbe91c5fcff'	'MamadouEnY'	'82.242.45.192')
('1f7fb7ea-1a2b-4cbf-8988-fb0060af986b'	'ExodiusTheMighty'	'213.49.91.185')
('1f81177f-7500-4d74-8b6b-68e8c46f279d'	'naxuy'	'95.190.42.111')
('1f827bde-e85b-4ac6-a8a4-20b4e817e8ba'	'Chasseur2Cancer'	'95.182.144.17')
('1f82e575-2ad8-4e06-8f2d-7b5c1673d065'	'Fluffalapagous'	'36.78.250.147')
('1f84c65d-9897-4b38-9df1-0dbecb4dbb79'	'Tokukei'	'68.46.177.147')
('1f84fd29-b30c-45b3-8fc9-49c0063d3df7'	'HendrixPepper'	'98.23.136.2')
('1f8918ab-93f5-4ab4-8e1d-95bb0248526f'	'KuriumCracked'	'181.169.104.126')
('1f8b3c9a-e875-4b73-b158-8031f34aa0af'	'Maser333'	'90.207.164.28')
('1f8ccdd3-9ee0-4761-a86e-0752f1c3377c'	'Rittey'	'64.188.213.86')
('1f8fc606-fc57-4fa9-8233-ddd455393e7c'	'Nyaification'	'172.56.12.35')
('1f90fb7d-b927-4097-9d38-7f05105e11f6'	'Jakekill1'	'72.131.241.222')
('1f91c7cf-9d48-4293-8ced-52d5daf478d6'	'AndyKraft'	'174.107.104.160')
('1f95fe97-a376-4c8c-bbfd-6a6be5666f81'	'D10ST3B0'	'181.75.178.178')
('1f98ff3a-e81b-4a5c-a191-5f7e34e2b1a7'	'oDubaiZ'	'187.250.97.101')
('1f99cb83-843e-4a14-a927-57fb4d16c980'	'F64_Rx'	'81.103.93.170')
('1f9ab7c5-ac7f-43c9-ba81-3d8bb95c11b7'	'DustBen3434'	'86.87.219.201')
('1f9d5e6f-e316-4abb-b26f-6ac3f1714e33'	'laserdude125'	'87.5.29.59')
('1f9d99fb-7397-4f22-a931-b555f1fc242b'	'upbraid'	'94.193.31.74')
('1f9e6181-9dd7-4c46-b7a3-d1c2f4d1cc8b'	'Name_Tag'	'213.112.142.36')
('1fa03328-39d5-4b09-a93e-c55148a259c0'	'toddsam11'	'101.176.181.50')
('1fa75288-5979-4019-950f-e648a6154f44'	'denzel_420'	'46.11.77.208')
('1fa83b3e-a66a-46d3-9e8a-365c7c6505ea'	'TaraRabbit'	'142.255.121.240')
('1fa94358-bdd4-49f0-95db-0843add3e9ce'	'mtndewmaster_lol'	'73.41.132.121')
('1fab6896-deaa-422b-bac3-7f284b270197'	'MATTGAGS'	'76.69.132.141')
('1faba81c-8ded-4f9b-8a6e-3ba874e35a8c'	'scopsul'	'70.31.131.61')
('1fafbde8-629c-43cd-9d78-90a41f56ba90'	'D4rkyh'	'87.1.39.229')
('1fb13f14-b8df-4eb8-b0ef-0ef62d22009a'	'Ixillion'	'47.154.77.14')
('1fb6b24f-00f7-4e8c-80f6-31d8037a4bdb'	'Peleador'	'107.191.36.25')
('1fb6f46f-0cd8-4aa0-b191-bfdaf7347de5'	'SnowStrafe'	'109.128.136.175')
('1fba80ae-3eb2-42f2-b740-a37b524d6324'	'Doel'	'68.8.73.122')
('1fbb1f6d-6018-4a06-b252-79295032b478'	'AntiPwr'	'50.162.147.28')
('1fbbb76a-320c-43b0-b2b4-93750ce30ddd'	'mysteryzain'	'108.80.191.185')
('1fbe150e-c083-4099-8357-d72d6b277395'	'xTraqz'	'94.224.87.95')
('1fbeae64-eea9-4078-af1a-786355f902b2'	'heey_'	'66.206.224.51')
('1fc235f0-ee55-49f4-8b3b-184026141d74'	'squishietwin'	'31.51.58.97')
('1fc2ab60-6382-4553-a271-8b509c5b358b'	'AtomicGame2'	'104.177.26.201')
('1fc340bb-0780-45d2-a973-82c4a3e07a7d'	'SwaggyHotDog_'	'24.41.211.99')
('1fc38615-3e90-4fd8-b802-63069244c808'	'SystemTDX_'	'176.26.4.188')
('1fc60e43-4892-41c9-bfa8-e91cd3784f47'	'hannesbrage'	'178.149.56.111')
('1fc804a7-0961-42e6-af23-ae8907f294f1'	'Simian'	'191.103.149.150')
('1fc87f7c-b0d0-4b97-b090-41e60b22d19e'	'ItsBunnyyy'	'86.181.111.71')
('1fc89e8c-8985-4e23-857a-fd33bf894787'	'Edsby'	'47.205.4.5')
('1fcd77cd-42f7-4e4e-a049-cdeefd09a349'	'SIRpoopsALOT_'	'69.247.29.76')
('1fce18c0-96a6-4839-a293-21e272b33c52'	'BolsitaDePapas'	'186.107.73.81')
('1fcef88c-d22a-4915-a208-d415887a17f1'	'Wqsteland'	'77.248.242.142')
('1fd2018c-dde3-40f2-a4d2-7e2ceba8bd22'	'Panda_Plays_PVP'	'74.118.30.79')
('1fd2774b-d6f3-4b7a-9235-f4a1bea01943'	'Warlord990'	'174.50.135.177')
('1fd3f909-4e7f-4ff0-a7a3-d4c00ea47ead'	'Nohaxjustwilliam'	'47.215.227.183')
('1fd4bc26-f05a-40a9-9751-ba36147d6114'	'l3wiPeola_'	'190.124.9.50')
('1fd4f5ac-9d3c-44f1-88d6-cc9ae5b4eb83'	'Barbyye'	'176.153.70.88')
('1fd5706d-3a43-4263-9a93-8d1203f81972'	'BenieHutJr'	'94.192.174.48')
('1fd5a642-a99c-4fd2-915a-5c38c44f9fd7'	'ItsSpinex'	'68.54.95.120')
('1fd85caa-70af-4967-a9c8-b41f6ecff926'	'Get_TheCombos'	'73.128.61.240')
('1fd8891b-0118-4715-9061-39ed8296f649'	'VapeingClient'	'50.170.236.202')
('1fe2ea05-6caa-4b17-a5e5-34013575e788'	'GewoonMiluca'	'217.120.72.211')
('1fe56468-2ca3-4ef3-8fd6-899e77746af1'	'COBBWEB'	'107.198.169.148')
('1fe7ae9c-22f4-48c4-9ccd-e8d78b43a62d'	'xTriple'	'100.16.50.226')
('1fe9654e-8aa7-4e60-916a-27a2b65b6299'	'Mefs'	'82.9.161.88')
('1fea93e8-6b55-4331-b9bf-72cef89d471a'	'PoopLandmarker22'	'50.177.202.28')
('1fec2116-86ec-4b43-9e09-d8d6535cbfcf'	'Vazo'	'174.69.23.33')
('1fec862e-9a61-40aa-95f8-f3b3cf013e4d'	'SilverToaster'	'99.244.17.137')
('1fee82b3-16fa-4a59-a888-6c2388c97471'	'BQMB'	'178.85.113.97')
('1ff0ed4c-3f28-4be2-9e58-389181d31d38'	'iChimpez'	'76.4.124.252')
('1ff1a1a4-0b86-4018-85d3-1c9e0cbc59db'	'Ey3guy02'	'172.79.205.63')
('1ff43cfc-bf20-4c10-96e0-b62e559dc19e'	'amirick'	'104.4.132.124')
('1ff49093-82f6-44a6-a885-379cdfadf664'	'Legendary_Archon'	'184.3.244.101')
('1ff5a93e-dc11-410f-a455-b8cf237c28d3'	'Raytoo'	'96.20.79.53')
('1ff60aba-41db-4b73-b2ef-3969b853172b'	'eShop'	'154.5.235.54')
('1ff735b4-0242-4283-af1e-547f41d6e425'	'WarriorYTB'	'66.18.56.40')
('1fff112a-20d7-4ef1-b466-2ec507a204e6'	'1EnchantedMiner'	'73.184.164.191')
('1fff60d9-a603-4626-b8df-7d1edf3592e3'	'Xenous'	'76.112.224.232')
('1fffa928-5de1-445e-bcbc-0b866b942b49'	'DefayZee_'	'151.75.123.12')
('200026d5-7143-4885-9cf1-42154e4d1518'	'7mile'	'73.144.33.56')
('2000a37f-efa5-4260-bf4a-dec618fefc7c'	'John_T89'	'50.152.254.92')
('20010e63-4d5a-4eda-bc69-6c5b7795d458'	'Jermey'	'98.215.144.207')
('2001c555-add1-4ed4-9ab0-02d1cb9a5828'	'vldpkha'	'62.195.75.106')
('200254dc-a716-4558-b3da-3bf7f8b0cbae'	'TalkingSmack'	'86.45.211.238')
('2003508e-86b1-43e0-9a57-710eb788b6eb'	'IcyRage'	'101.182.189.210')
('2004807f-886f-4b88-ba5c-9939bc347552'	'SunbroSolaire_'	'89.164.47.203')
('2005a172-7263-48aa-ab8b-ff6e65c4bf75'	'Pixiking'	'87.116.191.68')
('20092ced-9074-4616-935a-151a27e333df'	'Peermijnheer'	'82.176.146.125')
('200994fa-5146-417f-8078-88a32831a961'	'DeathGamez'	'73.155.74.29')
('200e1b3e-a9de-4146-a43f-676f7796f9b3'	'Dubbel'	'98.150.211.100')
('200e7994-335c-40e7-84d6-363e87bbde95'	'hundredpercent'	'72.132.8.117')
('200fa1fc-dbc4-452d-b703-3d697b5f4b8f'	'Lightning_shock'	'172.194.95.58')
('200fcab6-5884-478b-ad56-3709f443f163'	'Sxkoria'	'201.215.34.242')
('2015a857-c2cb-4bd0-81a1-e06ccce3b50f'	'xNebulaOG'	'97.106.107.123')
('201dc20c-094f-4d5d-8f6b-c3b9b741a8a2'	'Taxii'	'50.64.6.137')
('201dcc24-8b7f-4342-8665-98bc58087eb6'	'LizardAteMyJello'	'73.240.103.39')
('201e0c95-b2d9-411e-871e-cc787b99619e'	'ArtificalColour_'	'95.151.99.203')
('2026588d-d7c6-401d-b9eb-5b06fb707138'	'Verison'	'99.59.121.11')
('2028a9fc-c7ef-4cde-83b4-19a54a794061'	'SnorlaxGang'	'37.228.235.76')
('202a128b-20ea-4cc3-a4e2-f9089c1fed65'	'Deport300'	'81.132.126.210')
('202a64bd-09cc-4bbc-89e5-67e6e050fdf3'	'Bremso'	'178.36.222.70')
('202e9212-b4ef-46fe-8aac-5a16f0d5efe8'	'LeRoiPumbaa'	'83.198.227.165')
('2030149f-4b75-4be3-aeba-e1b0b4ef5cc3'	'Prehension'	'95.151.44.154')
('2031dd2d-ca47-4716-8395-e54a75eeac17'	'TitusLions567'	'67.140.80.35')
('2032df38-aada-4aa9-b337-21392b6189b5'	'omegaeliegrn'	'68.116.220.11')
('2032e4df-0e48-400c-b2cd-509e09085d0c'	'vectorlongshot'	'70.170.102.203')
('2035ddc0-cef4-4e24-a414-5754019f880c'	'SSyou'	'162.195.224.173')
('203649ba-9a1b-44b8-8d02-5556e8680304'	'caezar_augustus'	'99.184.171.121')
('20377819-a799-4064-9090-7122a0b4c12c'	'VorteXDesigns'	'47.196.17.20')
('20395c2b-81d8-4f2b-b6fd-7991819505ab'	'EatMyDebuff'	'66.108.202.20')
('203a69c1-892c-4004-ab03-e27fb9e91cf1'	'Shrmp'	'76.20.43.179')
('203bf574-cddb-4665-a631-889c858f6c28'	'juho9000'	'78.56.4.230')
('203ef9d3-b410-4b93-8ece-0c03d6bd393e'	'yoMarcus'	'50.156.137.204')
('203f2354-6b9d-4beb-b964-3a30a1b2f19e'	'Mc_C4RM3L0'	'68.96.162.103')
('203f2785-a46d-4000-8a89-24caf2ed084f'	'AnarchyOG'	'75.83.179.150')
('203f4211-81cf-4809-b065-eb8e07cf8d68'	'Blurp'	'108.162.115.213')
('2041b4bf-9a98-4b0c-9a18-8f7e0dbfca3c'	'ImMaybeHacking'	'92.109.0.64')
('2042e964-6df7-4281-bbb4-9f4d55407cf1'	'Bestenderowner'	'109.60.74.59')
('2044c431-a5cd-4a8b-bab2-7af23d5ab5a4'	'MalvoroClient'	'191.103.51.187')
('20474d32-73e2-4b24-aea3-45abf7fffa70'	'zConfig_'	'167.62.36.124')
('204a33db-5a15-4dee-8dc4-5e79b3e0cdd2'	'iTitanMC'	'70.53.41.23')
('204d6d07-d914-4fb4-82a5-28e72bd72fda'	'xZer0hh'	'190.237.72.169')
('2050f094-6670-490d-8901-269ee1f6c003'	'ArmyUS3US3'	'86.146.223.131')
('20510171-4ff8-4c28-8553-63b3f46a69fd'	'rvs'	'94.192.249.84')
('2051def7-ac97-4c93-a5f6-55ae2882184a'	'SargentNoob'	'47.33.107.113')
('2051ed18-14ea-4d5a-bfca-91a9ff64ca71'	'quickey'	'95.45.132.164')
('20536dfc-9c94-47f1-8743-c58c5bf3501b'	'CashMoney201'	'76.4.4.106')
('20537041-039c-4fe9-9508-245ef9a96faa'	'Areq'	'83.253.143.145')
('2054273c-edcd-4fdc-8a08-e5b9518326a9'	'Kilt'	'94.173.238.27')
('205874bf-65bd-4c4a-b967-92a934f3b5e6'	'AirAlgerie'	'82.230.40.110')
('205c69c9-8423-4f6b-acec-9241decb5261'	'Haval'	'70.122.211.190')
('206032dd-da6b-459f-a583-6873ba3b31a6'	'Vhain'	'37.209.29.66')
('206284c1-b83c-4f60-bc9b-a5607c4d5163'	'T0xicSpider'	'177.239.14.178')
('206370d9-b5e1-43ef-beae-83885b21907e'	'Altorem'	'68.37.252.119')
('20651f2c-61e2-4d53-aac7-37f8fb6fb6b3'	'Sean_Jeffrey'	'151.74.248.210')
('206bab70-4819-4eec-9bd5-36ce84cb2466'	'edward_D_luffy'	'121.112.110.250')
('206bb894-c092-4986-bd86-dd3f9c0cfa1b'	'Tier3'	'67.246.33.29')
('206bc17a-792f-4af1-915d-204d755b44c3'	'Twixtwix'	'190.149.161.47')
('206e4bdd-b2e1-4862-8d57-b023dd1ac76e'	'ItzCreeperz7w7_'	'186.155.14.69')
('206eb8e7-0593-4e82-a60d-640b16ffbcf5'	'sophisticrackle'	'23.233.0.197')
('206fcf9e-4666-49bb-8688-a84684223afb'	'DrunkDriver'	'75.84.176.242')
('20732500-a891-4ace-891a-6e50cdbc4413'	'dikkeoom'	'145.133.102.83')
('2073897d-90b9-4f98-bf5f-f06a0309fa1d'	'Francoxs'	'173.173.137.161')
('2073ba9b-cafc-473c-ba3e-79eedc24c73b'	'Seb_Mcpepp'	'96.19.99.83')
('207502af-d0a2-4af2-a724-1ec4e7085115'	'Swirlo'	'75.130.136.3')
('2076f01f-f91e-4f38-a364-5e8087cac0f1'	'LewisOfficial'	'79.70.108.36')
('20787b38-dfb7-4078-aa42-e1f631a499d5'	'ajaxjoris'	'31.201.229.160')
('207a08c4-c8d9-4b79-8c87-8982bd2f924f'	'EnderGalaxy123'	'187.212.139.160')
('207f546b-9ddb-45c7-925a-a03d3733f01f'	'MJHS'	'72.12.125.109')
('2085ca33-2fdb-4f57-914f-689c51933c64'	'McD0naldWifi'	'101.98.251.73')
('2086c613-b93e-4398-b68f-9716fa504430'	'KinderFactions'	'151.229.210.140')
('20877da7-130e-4817-8515-4e3f142201ce'	'Kanien'	'108.36.64.163')
('2089ded3-d7e2-4395-8117-7ee9b620d0b8'	'schubi42'	'116.110.244.84')
('208fa6d7-e0b4-4aaf-a63e-a0bb90ca96ee'	'Kuukku'	'170.72.74.42')
('2093a1b0-619c-434c-9a7a-5c8a017abca6'	'EnderGod_123'	'175.137.226.21')
('2095295f-a817-4591-ab05-c19567922e6d'	'Legit_Tortus'	'70.24.233.241')
('20964a67-1268-4106-a025-8051b89afd15'	'Jahoodles'	'70.196.129.60')
('20965740-2405-4b17-bf5f-0edb8fe52e0d'	'Hreach'	'88.89.230.66')
('2096596b-b1de-4623-9f02-b0cd3f8da765'	'QPX'	'98.234.66.90')
('2096b979-2bde-4e5f-842d-8974b93b6473'	'Tomszturtle'	'72.49.50.90')
('20975c38-e83e-4099-9b3a-ad0419ecdedc'	'Cladwon'	'69.119.98.204')
('209ab846-a464-4725-a889-f696a76e3222'	'starpop13'	'69.201.36.128')
('209debb4-0530-4d58-aa89-98399d8d9349'	'Kompresor'	'5.133.134.255')
('20a108a9-5927-42ea-b815-02c51d9d44f4'	'Caf1264'	'86.188.100.40')
('20a3d3e9-5fd1-4af1-85eb-e80152c6f097'	'lolitssorry'	'70.31.149.129')
('20a6bd05-bdc9-45d4-8e55-ff9b2b5e09ab'	'DrakeBrumfieldMC'	'186.108.170.137')
('20a7752e-70f9-4ce4-9e24-b086be3ca24e'	'Arquoz_'	'77.193.39.45')
('20a92eca-4f2d-4826-a120-d48cd061b221'	'ArcherSet'	'75.167.204.190')
('20ac5fa4-85a8-4801-a3aa-0e0fe72e62ef'	'KiraaMC'	'189.237.158.101')
('20b05c46-5274-4931-84b1-4cbb87958aca'	'SrfrBoyBob'	'88.201.84.7')
('20b0aa81-d23c-45a2-8201-8f80de5cac0a'	'CUMr'	'98.165.176.131')
('20b16ee1-8d22-4afa-bfcb-02ddb7d141ca'	'DontPls'	'71.77.241.133')
('20b2c41e-7432-4368-a3e3-11595270c0ff'	'willian751'	'123.211.29.26')
('20b3ba48-61de-4514-bb60-c0d28dfcad2f'	'1PingWonder'	'99.4.125.206')
('20b7b0d9-a567-42ea-84f0-2f1c1d1e840e'	'Rothbart'	'185.145.65.42')
('20b83a7c-c3e9-4d07-856f-8e4931165b68'	'Feer_'	'173.34.160.28')
('20b83fe8-cc17-4384-9adf-ffd18581df4b'	'FUF11'	'92.2.193.179')
('20bba929-4d65-45c1-9bea-2328400b7c2f'	'Viar'	'47.197.71.121')
('20bec584-58dd-48a5-8943-fac6370bb3d5'	'Mastur_Ch33f'	'69.167.26.198')
('20c0b1b2-e808-4551-9c5b-20150148a921'	'Magbros'	'64.30.89.138')
('20c0de5f-84b0-4907-9799-373f816abfb7'	'Vqk'	'98.113.122.119')
('20c1f52c-b9ba-42d0-b3ac-0b6ee099ebd0'	'HeHeziny'	'86.42.251.68')
('20c6d866-183b-4e7d-9aaa-d092a0b8c96a'	'Destin1635'	'213.66.78.19')
('20c6df3e-582a-4910-918a-853dff41dcf5'	'Quiffs'	'69.137.106.183')
('20c6fd8d-33b6-47b9-b47f-bae8c0618713'	'Rekteh'	'86.10.194.37')
('20c7b2f6-5839-45a0-8fa2-d3765d1ccb18'	'_LMG_PVP_'	'173.52.209.45')
('20c7d195-f8f7-48fb-92e8-cc62ec2aeaf4'	'IVapeCusImGay'	'155.31.51.0')
('20ca841f-100b-4f65-83d3-6254144076ad'	'Weedless'	'206.53.81.216')
('20ce394b-1c06-40f1-ab33-f322b842413b'	'GetShitOn'	'73.162.74.105')
('20d5444d-31c4-452c-a76f-c8ca6c8f2cd4'	'Jaysonc1plays'	'104.137.98.183')
('20d6ee71-df21-4694-84c1-1777896adb5f'	'Grape_Kool_Aid'	'50.190.67.65')
('20dc66c7-f930-4e61-8408-7d1736f77922'	'nickied312'	'75.183.123.247')
('20dd619b-d3d5-4f47-99ea-182f6aa18bb2'	'Abeous'	'98.28.80.138')
('20dfd57d-4f0a-4f49-80c6-508ca94a92c1'	'SexAndRide'	'24.74.107.252')
('20e0b095-fc2b-4b74-a9c9-17ee66ae9e24'	'Bigboss1009'	'172.56.28.155')
('20e1162e-bfc6-4af0-950a-4e763fe46e38'	'JewsAreTasty'	'89.238.166.244')
('20e21a6d-7f57-4e08-9140-38757bd27b93'	'Riggzo'	'98.178.135.194')
('20e299f4-8106-4885-8d78-1eb93137c445'	'AbracaYaya'	'78.227.139.81')
('20e47233-89d5-4314-8cd9-80c823317a9b'	'MangoSapje'	'178.117.34.119')
('20e5a2b8-7a63-4b77-8a15-78abe667f263'	'cakeSAUR'	'69.157.229.79')
('20e5a4a4-eedf-43cc-8a10-ac776540d879'	'Sirkelz'	'181.14.182.171')
('20e6c7fd-bd73-4a26-9db1-8bb4d7216ff0'	'EndingCareers'	'189.223.155.253')
('20e8a10b-14f3-4f40-b680-7d4e3f5bfc71'	'RollzRoyce'	'67.188.217.214')
('20ea31b7-1a01-452d-be59-de6076c3afef'	'tphere'	'85.144.149.96')
('20eac01f-6064-401a-8e6e-c21d29d2917c'	'isaac57'	'24.78.33.120')
('20ed4af4-a84b-4170-a612-e78824a68f08'	'FroidzSr'	'121.222.254.123')
('20ef8c19-6419-4cc3-8850-2d1c6eb4981e'	'yousmell'	'47.137.81.79')
('20f0873c-4d5e-4f50-91ea-32c0ff0269b6'	'Cuddie'	'71.59.139.136')
('20f220bd-ed85-4e64-b1e8-de9229008258'	'DetroxHD3'	'69.167.28.253')
('20f4685f-6a5a-4fb8-9f1e-36df7c229771'	'TastyOG'	'109.158.0.168')
('20f594f9-cebf-471f-9520-640f9d32ae42'	'Diegothebest10'	'189.234.141.21')
('20f70cac-4d15-40c1-8856-d28f5f5c8157'	'Lil_Lefty_12'	'24.143.178.42')
('20fa0e00-94a9-4add-aef7-c2b587935b1c'	'ThatGuyThatCould'	'75.144.121.253')
('20fa6f75-95a9-45e8-a480-367c7aea2f7b'	'PokeHerAss'	'137.186.58.140')
('20fc6109-3d33-49f3-86aa-c9732f3ef673'	'Mini3310'	'121.208.204.218')
('20ff4a8c-a1cd-46c8-99d9-56281e116f7c'	'killercaveman132'	'69.167.30.102')
('210221ac-0e08-4275-810c-913ca7783ba3'	'_ElnOx'	'88.142.136.5')
('2104b6b5-fcc4-4c07-839c-277399e8c146'	'VapingVerzide'	'97.104.55.1')
('2106e7b9-7744-41e8-a3a6-2dabd4fb52ca'	'Kayliie'	'172.100.220.37')
('2106f471-ee73-477f-97b8-bbdd2c32090b'	'vigogame'	'93.143.157.8')
('2107f3af-1040-480a-b0dc-925e2ca7d7ff'	'bebkq'	'87.69.139.214')
('2108028e-a814-4219-be6d-377d58e0e026'	'Genij'	'69.122.128.39')
('210a1069-560b-4880-a1f0-6f0dbf375dfb'	'crack1421'	'109.127.25.149')
('210d2030-bfe3-4612-8b13-2676aa691f2b'	'Tiliad'	'82.95.227.96')
('210deb50-5c04-4006-beb9-7429765760cf'	'Tuluzar'	'67.181.158.127')
('210f5b38-6ce5-440e-80ee-408deb5a1568'	'ProMcHacksJr'	'50.21.131.178')
('210f8840-b9a9-4bc1-9f83-7f891b4bc423'	'TrevorTrump'	'206.78.61.93')
('210ff674-681a-443d-8dff-3c2afd9d01bf'	'HeyItsColdem'	'186.138.131.19')
('21131ff9-2152-48d3-893f-bdf8eb3264d5'	'triggeredbuffle'	'71.196.147.211')
('21133103-d813-4aa7-8d5d-fd99b074db49'	'skulls_5000'	'79.161.41.141')
('2114c70f-8016-45bf-bf31-7a0cf5e73391'	'Traply'	'82.72.4.182')
('211704cf-6a21-45d5-a009-3cad6a93e7a2'	'1v1MeBoi'	'124.170.187.163')
('2117e30c-09b1-4a7a-93db-dbc4c1b59cdb'	'Cwack'	'70.162.143.119')
('2118d0c2-fe4c-4931-821e-8949e1c8177e'	'AliGames20'	'178.149.240.213')
('211db779-90f5-462b-85b2-9933ae5146d1'	'Jackiay'	'99.123.194.77')
('211f261d-4e45-4f71-8180-42099f65fffe'	'Wallcor'	'190.232.250.66')
('211f376e-7d87-4eb7-9a38-e55a16daf595'	'Solitaryy'	'182.55.186.17')
('212196c0-fced-4f88-ba44-4f93583c71fb'	'm_z_k_'	'99.239.161.236')
('2121c01d-a6e3-47b2-a779-eeed5ec01d0a'	'PETEREB'	'67.242.163.157')
('2122c073-3c11-47a6-8a42-246d2a9df4c4'	'mangle_gamer0828'	'162.250.21.165')
